YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 04 17  58  7.3  8.7  2.89 16.67  8.11 349 1009.6  23.8  23.4 999.0 99.0
1999 01 04 18  61  7.3  9.4  2.95 14.29  7.79 351 1010.2  23.8  23.4 999.0 99.0
1999 01 04 19  71  7.3  8.9  2.74 14.29  7.50 336 1010.5  24.2  23.4 999.0 99.0
1999 01 04 20  69  7.6  9.2  2.94 14.29  7.80 344 1010.3  24.3  23.5 999.0 99.0
1999 01 04 21  75  8.2 10.2  2.96 16.67  7.82 346 1009.9  24.2  23.5 999.0 99.0
1999 01 04 22  73  7.9  9.8  2.79 14.29  7.46 347 1009.1  24.3  23.5 999.0 99.0
1999 01 04 23  70  8.0  9.6  2.74 14.29  7.27 345 1008.5  24.2  23.6 999.0 99.0
1999 01 05 00  72  7.7  9.3  2.58 14.29  6.81 346 1007.6  24.2  23.7 999.0 99.0
1999 01 05 01  70  7.7  9.1 99.00 99.00 99.00 999 1006.9  24.2  23.7 999.0 99.0
1999 01 05 02  68  7.5  9.0  2.67 14.29  7.20 346 1006.5  24.3  23.7 999.0 99.0
1999 01 05 03 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 05 04  70  8.4 10.3  2.55 14.29  7.06 344 1007.1  24.3  23.5 999.0 99.0
1999 01 05 05  61  8.8 10.2  2.64 14.29  6.83 344 1007.9  24.3  23.5 999.0 99.0
1999 01 05 06  68  8.9 10.4  2.62 14.29  6.31 351 1008.6  24.3  23.5 999.0 99.0
1999 01 05 07  72  8.8 11.2  2.25 14.29  5.97 348 1008.9  24.3  23.5 999.0 99.0
1999 01 05 08  75  9.4 11.6  2.66 14.29  6.64 343 1009.1  24.3  23.5 999.0 99.0
1999 01 05 09 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 05 10  71  8.9 11.1  2.37 14.29  6.39 347 1009.3  24.3  23.8 999.0 99.0
1999 01 05 11  68  9.1 11.3  2.43 14.29  6.43 342 1008.8  24.2  23.8 999.0 99.0
1999 01 05 12  73  9.3 10.8  2.29 14.29  5.96 349 1008.2  24.2  23.7 999.0 99.0
1999 01 05 13  78  9.7 11.5  2.40 14.29  6.09 344 1007.6  23.8  23.7 999.0 99.0
1999 01 05 14  72  9.9 12.0  2.33 12.50  6.01 341 1007.6  23.8  23.7 999.0 99.0
1999 01 05 15  73  9.3 11.5  2.25 12.50  5.67 344 1008.0  23.8  23.7 999.0 99.0
1999 01 05 16  70  9.7 11.6  2.42 14.29  6.06 341 1008.5  23.8  23.6 999.0 99.0
1999 01 05 17  66  8.9 10.4  2.25 14.29  5.77 350 1009.2  23.8  23.5 999.0 99.0
1999 01 05 18  60  9.2 11.0  2.48 14.29  6.06 344 1009.7  24.2  23.5 999.0 99.0
1999 01 05 19  61  9.2 10.8  2.25 14.29  5.86 338 1010.1  24.2  23.6 999.0 99.0
