YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 11 06 11 229  4.0  5.3  2.15 10.00  8.50 346 1012.3  29.2  29.5 999.0 99.0
97 11 06 12 250  3.9  5.0  1.81 10.00  7.83 333 1012.3  29.0  29.7 999.0 99.0
97 11 06 13 259  4.3  5.1  1.95 10.00  8.27 346 1011.9  29.0  29.2 999.0 99.0
97 11 06 14 255  4.8  5.9  1.89 10.00  8.06 315 1012.0  29.0  29.2 999.0 99.0
97 11 06 15 258  4.5  5.5  1.86 10.00  8.09 326 1012.4  28.9  29.2 999.0 99.0
97 11 06 16 269  4.7  5.8  1.98 10.00  8.25 337 1012.8  28.9  29.2 999.0 99.0
97 11 06 17 282  4.5  5.8  1.90 12.50  8.43 182 1013.3  28.9  29.2 999.0 99.0
97 11 06 18 262  3.9  5.0  1.80 12.50  8.47 183 1014.1  29.0  29.2 999.0 99.0
97 11 06 19 288  4.0  5.0  1.90 11.11  8.50 247 1014.3  29.2  29.2 999.0 99.0
97 11 06 20 290  3.5  4.3  1.92 10.00  8.46 324 1014.2  29.0  29.7 999.0 99.0
97 11 06 21 283  3.8  4.7  1.80 10.00  8.60 347 1013.5  29.0  29.7 999.0 99.0
97 11 06 22 283  4.0  5.2  1.75 10.00  8.54 343 1012.7  29.1  29.7 999.0 99.0
97 11 06 23 280  4.3  5.3  1.79 11.11  8.65 181 1011.9  29.2  29.8 999.0 99.0
97 11 07 00 281  5.3  6.7  1.68 10.00  8.44 347 1011.1  29.2  29.8 999.0 99.0
97 11 07 01 286  5.5  6.6  1.77 11.11  8.42 195 1010.4  29.2  29.7 999.0 99.0
97 11 07 02 290  5.4  6.6  1.72  9.09  8.07   7 1010.3  29.2  29.7 999.0 99.0
97 11 07 03 269  5.2  6.3  1.84 12.50  7.97 186 1011.1  29.2  29.7 999.0 99.0
97 11 07 04 254  4.6  5.3  1.64 10.00  7.55   1 1011.9  29.0  29.7 999.0 99.0
97 11 07 05 265  4.2  4.8  1.81 10.00  7.61 315 1012.6  28.5  29.7 999.0 99.0
97 11 07 06 270  5.5  7.4  1.69 10.00  7.76 137 1013.3  29.1  29.7 999.0 99.0
97 11 07 07 290  6.1  7.4  1.60 11.11  7.39 179 1013.6  28.3  29.3 999.0 99.0
97 11 07 08 246  4.6  6.2  1.73 10.00  8.07 131 1014.1  29.0  29.2 999.0 99.0
97 11 07 09 285  5.1  6.3  1.91 10.00  7.92   3 1013.8  28.9  29.2 999.0 99.0
97 11 07 10 276  4.9  6.1  1.73  9.09  7.51   5 1013.3  29.0  29.2 999.0 99.0
97 11 07 11 275  4.8  6.0  1.80 11.11  8.08 192 1012.9  29.0  29.2 999.0 99.0
97 11 07 12 276  5.4  6.7  1.65  9.09  7.48  13 1012.1  28.9  29.2 999.0 99.0
97 11 07 13 272  6.5  7.4  1.85 16.67  8.01 330 1011.8  28.9  29.2 999.0 99.0
97 11 07 14 278  6.3  7.5  1.71 11.11  7.45 179 1011.9  28.8  29.2 999.0 99.0
97 11 07 15 281  5.3  6.5  1.65  8.33  6.78  21 1012.3  28.5  29.2 999.0 99.0
97 11 07 16 252  7.6  9.8  1.72 11.11  7.08 177 1012.8  28.5  29.2 999.0 99.0
97 11 07 17 254  6.6  9.0  1.80 14.29  7.28 320 1013.5  28.8  29.2 999.0 99.0
97 11 07 18 259  6.8  8.1  1.98 14.29  6.93 315 1014.3  28.9  29.2 999.0 99.0
97 11 07 19 264  6.9  7.9  1.89  9.09  7.05 243 1014.5  28.9  29.2 999.0 99.0
97 11 07 20 268  6.1  7.4  1.80 14.29  6.30 324 1014.5  29.0  29.2 999.0 99.0
97 11 07 21 254  6.8  8.2 99.00 99.00 99.00 999 1014.2  28.7  29.2 999.0 99.0
97 11 07 22 261  5.9  6.9  2.02 14.29  6.96 313 1013.5  28.5  29.2 999.0 99.0
97 11 07 23 242  5.0  6.0  2.02 14.29  6.87 328 1012.9  28.9  29.3 999.0 99.0
97 11 08 00 255  5.2  6.2  1.87 14.29  6.96 329 1012.4  28.5  29.7 999.0 99.0
97 11 08 01 252  5.3  7.1  2.16 14.29  7.50 331 1011.7  28.9  29.7 999.0 99.0
97 11 08 02 251  4.6  5.5  2.00 14.29  7.34 329 1011.9  29.0  29.7 999.0 99.0
97 11 08 03 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 11 08 04 242  6.1  7.2  2.04 14.29  7.42 327 1012.9  28.9  29.2 999.0 99.0
97 11 08 05 250  5.4  6.4  1.93 10.00  7.38 174 1013.4  28.9  29.2 999.0 99.0
97 11 08 06 256  4.9  6.0  1.86 12.50  7.38 222 1014.1  28.8  29.2 999.0 99.0
97 11 08 07 269  6.2  7.6  1.83 12.50  7.37 296 1014.2  28.9  29.2 999.0 99.0
97 11 08 08 272  5.9  7.2  2.01 12.50  7.48 317 1014.9  29.0  29.2 999.0 99.0
