#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 03 22 00  79  7.9  9.5  2.26  9.09  5.70  64 1010.1  24.1  23.9 999.0 99.0 99.00
2008 01 03 23 00  81  7.3  8.6  2.35  8.33  5.90  71 1009.4  24.1  24.0 999.0 99.0 99.00
2008 01 04 00 00  84  7.4  8.8  2.10 10.00  5.76  66 1008.5  24.1  24.0 999.0 99.0 99.00
2008 01 04 01 00  79  7.7  9.4  2.28 10.00  6.01  52 1007.7  24.1  24.0 999.0 99.0 99.00
2008 01 04 02 00  80  7.5  8.6  2.36 10.00  6.10  59 1007.4  24.1  24.0 999.0 99.0 99.00
2008 01 04 03 00  81  7.7  9.6  2.34 10.00  5.94  65 1007.8  24.2  24.0 999.0 99.0 99.00
2008 01 04 04 00  77  7.3  9.0  2.14  9.09  5.69  72 1008.5  24.2  24.0 999.0 99.0 99.00
2008 01 04 05 00  76  8.3  9.7  2.20  7.69  5.82  81 1009.1  24.2  23.9 999.0 99.0 99.00
2008 01 04 06 00  81  7.6  9.0  2.40  8.33  5.99  82 1010.0  24.1  23.9 999.0 99.0 99.00
2008 01 04 07 00  76  7.0  8.3  2.33 10.00  6.03  58 1010.7  24.1  23.9 999.0 99.0 99.00
2008 01 04 08 00  77  6.9  8.0  2.22 10.00  6.00  61 1011.2  24.1  23.9 999.0 99.0 99.00
2008 01 04 09 00  81  6.7  7.8  2.08 10.00  5.81  56 1011.1  24.1  23.9 999.0 99.0 99.00
2008 01 04 10 00  75  7.1  8.2  2.18 10.00  6.06  60 1010.5  24.0  23.9 999.0 99.0 99.00
2008 01 04 11 00  81  7.1  8.2  2.12 10.00  5.98  79 1009.9  24.0  23.9 999.0 99.0 99.00
2008 01 04 12 00  79  7.1  8.8  2.33  9.09  6.21  79 1009.3  23.9  23.8 999.0 99.0 99.00
2008 01 04 13 00  73  8.0  9.3  2.15 10.00  5.80  63 1008.9  23.8  23.8 999.0 99.0 99.00
2008 01 04 14 00  77  7.0  8.8  2.16  8.33  5.97  95 1009.0  23.8  23.8 999.0 99.0 99.00
2008 01 04 15 00  80  7.5  8.7  2.03 10.00  5.87  59 1009.0  23.8  23.8 999.0 99.0 99.00
2008 01 04 16 00  84  7.5  8.9  2.17  9.09  5.78  79 1009.3  23.9  23.8 999.0 99.0 99.00
2008 01 04 17 00  93  8.1  9.6  2.24  9.09  5.83  63 1010.0  24.0  23.8 999.0 99.0 99.00
2008 01 04 18 00  86  8.5  9.8  2.22 10.00  5.80  63 1010.8  24.1  23.8 999.0 99.0 99.00
2008 01 04 19 00  86  7.7  8.8  2.07  9.09  5.66  69 1011.3  24.2  23.8 999.0 99.0 99.00
2008 01 04 20 00  87  8.1  9.8  1.98  9.09  5.59  71 1011.6  24.2  23.9 999.0 99.0 99.00
